dorsal_abs_lfc_max,n_prox_genes,n_dist_genes,caudal_rep2_auc,filter_quantile
0.1,100,100,0.8287754550959708,
0.2,100,100,0.8175860738560126,
0.25,100,100,0.8125808149164815,
0.35,100,100,0.8170506951558161,
0.5,100,100,0.81170553065122,
0.75,100,100,0.8120771938819147,
1.0,100,100,0.8129425790722761,
0.0486043131134552,100,100,0.8298346561102812,0.25
0.08167683301414602,100,100,0.8267440395083279,0.4
0.1073631470257647,100,100,0.8288306166830274,0.5
